id,type,alarm,core,node,parent,depth
0,Site,0,,,,0
1,Array,0,,,0,1
2,Core,0,1,,1,2
3,Node,4,1,1,2,3
4,Node,0,1,2,2,3
5,Node,2,1,3,2,3
6,Node,0,1,4,2,3
7,Node,0,1,5,2,3
8,Node,0,1,6,2,3
9,Node,0,1,7,2,3
10,Node,0,1,8,2,3
11,Node,0,1,9,2,3
12,Node,0,1,10,2,3
13,Node,0,1,11,2,3
14,Node,0,1,12,2,3
15,Node,0,1,13,2,3
16,Node,0,1,14,2,3
17,Node,0,1,15,2,3
18,Node,0,1,16,2,3
19,Node,0,1,17,2,3
20,Node,0,1,18,2,3
21,Node,0,1,19,2,3
22,Node,0,1,20,2,3
23,Node,0,1,21,2,3
24,Node,0,1,22,2,3
25,Node,0,1,23,2,3
26,Node,0,1,24,2,3
27,Node,0,1,25,2,3
28,Node,0,1,26,2,3
29,Node,0,1,27,2,3
30,Node,0,1,28,2,3
31,Node,0,1,29,2,3
32,Node,0,1,30,2,3
33,Core,0,2,,1,2
34,Node,0,2,1,33,3
35,Node,0,2,2,33,3
36,Node,0,2,3,33,3
37,Node,0,2,4,33,3
38,Node,0,2,5,33,3
39,Node,0,2,6,33,3
40,Node,0,2,7,33,3
41,Node,0,2,8,33,3
42,Node,0,2,9,33,3
43,Node,0,2,10,33,3
44,Node,0,2,11,33,3
45,Node,0,2,12,33,3
46,Node,0,2,13,33,3
47,Node,0,2,14,33,3
48,Node,0,2,15,33,3
49,Node,0,2,16,33,3
50,Node,0,2,17,33,3
51,Node,0,2,18,33,3
52,Node,0,2,19,33,3
53,Node,0,2,20,33,3
54,Node,0,2,21,33,3
55,Node,0,2,22,33,3
56,Node,0,2,23,33,3
57,Node,0,2,24,33,3
58,Node,0,2,25,33,3
59,Node,0,2,26,33,3
60,Node,0,2,27,33,3
61,Node,0,2,28,33,3
62,Node,0,2,29,33,3
63,Node,0,2,30,33,3
64,Core,0,3,,1,2
65,Node,0,3,1,64,3
66,Node,0,3,2,64,3
67,Node,0,3,3,64,3
68,Node,0,3,4,64,3
69,Node,0,3,5,64,3
70,Node,0,3,6,64,3
71,Node,2,3,7,64,3
72,Node,0,3,8,64,3
73,Node,0,3,9,64,3
74,Node,0,3,10,64,3
75,Node,0,3,11,64,3
76,Node,0,3,12,64,3
77,Node,0,3,13,64,3
78,Node,0,3,14,64,3
79,Node,0,3,15,64,3
80,Node,0,3,16,64,3
81,Node,0,3,17,64,3
82,Node,0,3,18,64,3
83,Node,0,3,19,64,3
84,Node,0,3,20,64,3
85,Node,0,3,21,64,3
86,Node,0,3,22,64,3
87,Node,0,3,23,64,3
88,Node,0,3,24,64,3
89,Node,0,3,25,64,3
90,Node,0,3,26,64,3
91,Node,0,3,27,64,3
92,Node,0,3,28,64,3
93,Node,0,3,29,64,3
94,Node,0,3,30,64,3
95,Core,0,4,,1,2
96,Node,0,4,1,95,3
97,Node,0,4,2,95,3
98,Node,0,4,3,95,3
99,Node,0,4,4,95,3
100,Node,0,4,5,95,3
101,Node,0,4,6,95,3
102,Node,0,4,7,95,3
103,Node,0,4,8,95,3
104,Node,0,4,9,95,3
105,Node,0,4,10,95,3
106,Node,0,4,11,95,3
107,Node,0,4,12,95,3
108,Node,0,4,13,95,3
109,Node,0,4,14,95,3
110,Node,0,4,15,95,3
111,Node,0,4,16,95,3
112,Node,0,4,17,95,3
113,Node,0,4,18,95,3
114,Node,0,4,19,95,3
115,Node,0,4,20,95,3
116,Node,0,4,21,95,3
117,Node,0,4,22,95,3
118,Node,0,4,23,95,3
119,Node,0,4,24,95,3
120,Node,0,4,25,95,3
121,Node,0,4,26,95,3
122,Node,0,4,27,95,3
123,Node,0,4,28,95,3
124,Node,0,4,29,95,3
125,Node,0,4,30,95,3
126,Core,0,5,,1,2
127,Node,0,5,1,126,3
128,Node,0,5,2,126,3
129,Node,0,5,3,126,3
130,Node,0,5,4,126,3
131,Node,0,5,5,126,3
132,Node,0,5,6,126,3
133,Node,0,5,7,126,3
134,Node,0,5,8,126,3
135,Node,0,5,9,126,3
136,Node,0,5,10,126,3
137,Node,0,5,11,126,3
138,Node,0,5,12,126,3
139,Node,0,5,13,126,3
140,Node,0,5,14,126,3
141,Node,0,5,15,126,3
142,Node,0,5,16,126,3
143,Node,0,5,17,126,3
144,Node,0,5,18,126,3
145,Node,0,5,19,126,3
146,Node,0,5,20,126,3
147,Node,0,5,21,126,3
148,Node,0,5,22,126,3
149,Node,0,5,23,126,3
150,Node,0,5,24,126,3
151,Node,0,5,25,126,3
152,Node,0,5,26,126,3
153,Node,0,5,27,126,3
154,Node,0,5,28,126,3
155,Node,0,5,29,126,3
156,Node,0,5,30,126,3
