id,station,site,type,array,core,node,parent,alerts,weight
0,2,"Berkeley,CA",Site,,,,,,
1,3,"Berkeley,CA",Array,1,,,,,
2,4,"Berkeley,CA",Core,1,1,,1,,
3,5,"Berkeley,CA",Node,1,1,1,2,,
4,6,"Berkeley,CA",Node,1,1,2,2,,
5,7,"Berkeley,CA",Node,1,1,3,2,,
6,9,"Berkeley,CA",Node,1,1,4,2,,
7,10,"Berkeley,CA",Node,1,1,5,2,,
8,11,"Berkeley,CA",Node,1,1,6,2,,
9,12,"Berkeley,CA",Node,1,1,7,2,,
10,13,"Berkeley,CA",Node,1,1,8,2,,
11,14,"Berkeley,CA",Node,1,1,9,2,,
12,15,"Berkeley,CA",Node,1,1,10,2,,
13,16,"Berkeley,CA",Node,1,1,11,2,,
14,17,"Berkeley,CA",Node,1,1,12,2,,
15,18,"Berkeley,CA",Node,1,1,13,2,,
16,19,"Berkeley,CA",Node,1,1,14,2,,
17,20,"Berkeley,CA",Node,1,1,15,2,,
18,21,"Berkeley,CA",Node,1,1,16,2,,
19,22,"Berkeley,CA",Node,1,1,17,2,,
20,23,"Berkeley,CA",Node,1,1,18,2,,
21,24,"Berkeley,CA",Node,1,1,19,2,,
22,25,"Berkeley,CA",Node,1,1,20,2,,
23,26,"Berkeley,CA",Node,1,1,21,2,,
24,27,"Berkeley,CA",Node,1,1,22,2,,
25,28,"Berkeley,CA",Node,1,1,23,2,,
26,29,"Berkeley,CA",Node,1,1,24,2,,
27,30,"Berkeley,CA",Node,1,1,25,2,,
28,31,"Berkeley,CA",Node,1,1,26,2,,
29,32,"Berkeley,CA",Node,1,1,27,2,,
30,33,"Berkeley,CA",Node,1,1,28,2,,
31,34,"Berkeley,CA",Node,1,1,29,2,,
32,35,"Berkeley,CA",Node,1,1,30,2,,
33,36,"Berkeley,CA",Core,1,2,,1,,
34,37,"Berkeley,CA",Node,1,2,1,33,,
35,39,"Berkeley,CA",Node,1,2,2,33,,
36,41,"Berkeley,CA",Node,1,2,3,33,,
37,42,"Berkeley,CA",Node,1,2,4,33,,
38,43,"Berkeley,CA",Node,1,2,5,33,,
39,44,"Berkeley,CA",Node,1,2,6,33,,
40,45,"Berkeley,CA",Node,1,2,7,33,,
41,46,"Berkeley,CA",Node,1,2,8,33,,
42,47,"Berkeley,CA",Node,1,2,9,33,,
43,48,"Berkeley,CA",Node,1,2,10,33,,
44,49,"Berkeley,CA",Node,1,2,11,33,,
45,50,"Berkeley,CA",Node,1,2,12,33,,
46,51,"Berkeley,CA",Node,1,2,13,33,,
47,53,"Berkeley,CA",Node,1,2,14,33,,
48,55,"Berkeley,CA",Node,1,2,15,33,,
49,56,"Berkeley,CA",Node,1,2,16,33,,
50,57,"Berkeley,CA",Node,1,2,17,33,,
51,59,"Berkeley,CA",Node,1,2,18,33,,
52,60,"Berkeley,CA",Node,1,2,19,33,,
53,61,"Berkeley,CA",Node,1,2,20,33,,
54,62,"Berkeley,CA",Node,1,2,21,33,,
55,63,"Berkeley,CA",Node,1,2,22,33,,
56,64,"Berkeley,CA",Node,1,2,23,33,,
57,65,"Berkeley,CA",Node,1,2,24,33,,
58,66,"Berkeley,CA",Node,1,2,25,33,,
59,67,"Berkeley,CA",Node,1,2,26,33,,
60,69,"Berkeley,CA",Node,1,2,27,33,,
61,71,"Berkeley,CA",Node,1,2,28,33,,
62,72,"Berkeley,CA",Node,1,2,29,33,,
63,74,"Berkeley,CA",Node,1,2,30,33,,
